PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,IEP/XDR,ILS/XDR,ITL/XDR,JMD/XDR,JPY/XDR,JOD/XDR,KWD/XDR,LBP/XDR,LUF/XDR,MYR/XDR
2459089,2020/8/27,Thu,0.94145,4.7524,2314.6,,150.27,,,,48.222,5.8852
2459090,2020/8/28,Fri,0.93908,4.7865,2308.8,,149.42,,,,48.101,5.9268
2459093,2020/8/31,Mon,0.93659,4.7639,2302.7,,150.45,,,,47.973,5.9041
2459094,2020/9/1,Tue,0.93702,4.7784,2303.7,,150.58,,,,47.995,5.9049
2459095,2020/9/2,Wed,0.94179,4.7638,2315.4,,150.4,,,,48.239,5.8711
2459096,2020/9/3,Thu,0.94139,4.7688,2314.5,,150.26,,,,48.219,5.8738
2459097,2020/9/4,Fri,0.94188,4.7595,2315.7,,150.37,,,,48.244,5.8653
2459101,2020/9/8,Tue,0.94277,4.7941,2317.8,,149.53,,,,48.29,5.8917
2459102,2020/9/9,Wed,0.94163,4.7841,2315,,149.95,,,,48.231,5.8677
2459103,2020/9/10,Thu,0.93785,4.8271,2305.8,,149.98,,,,48.038,5.8871
2459104,2020/9/11,Fri,0.93876,4.8845,2308,,149.83,,,,48.084,5.8637
2459107,2020/9/14,Mon,0.93813,4.8609,2306.5,,149.53,,,,48.052,5.8644
2459108,2020/9/15,Tue,0.9397,4.8495,2310.3,,149.12,,,,48.133,5.8564
2459109,2020/9/16,Wed,0.94216,4.8417,2316.3,,148.54,,,,48.258,5.8479
2459110,2020/9/17,Thu,0.94267,4.8447,2317.6,,148.1,,,,48.285,5.8573
2459111,2020/9/18,Fri,0.9412,4.8497,2314,,147.88,,,,48.209,5.8285
2459114,2020/9/21,Mon,0.9451,4.8755,2323.6,,147.52,,,,48.409,5.8386
2459115,2020/9/22,Tue,0.94677,4.8497,2327.7,,147.77,,,,48.495,5.8232
2459116,2020/9/23,Wed,0.94824,4.8641,2331.3,,148.12,,,,48.57,5.8503
2459117,2020/9/24,Thu,0.94901,4.878,2333.2,,148.05,,,,48.609,5.8459
2459118,2020/9/25,Fri,0.95054,4.8962,2337,,148.13,,,,48.688,5.8575
2459121,2020/9/28,Mon,0.94958,4.8744,2334.6,,148.36,,,,48.638,5.8684
2459122,2020/9/29,Tue,0.94579,4.8697,2325.3,,148.86,,,,48.444,5.8597
2459123,2020/9/30,Wed,0.94695,4.8289,2328.1,,148.69,,,,48.504,5.8331
2459124,2020/10/1,Thu,0.9455,4.8293,2324.6,,148.87,,,,48.43,5.8557
2459125,2020/10/2,Fri,0.94757,4.8389,2329.7,,148.43,,,,48.536,5.8737
2459128,2020/10/5,Mon,0.94403,4.8291,2320.9,,149.18,,,,48.354,5.8639
2459129,2020/10/6,Tue,0.94378,4.8187,2320.3,,149.08,,,,48.342,5.8735
2459130,2020/10/7,Wed,0.94402,4.7947,2320.9,,149.45,,,,48.354,5.8571
2459131,2020/10/8,Thu,0.94501,4.7746,2323.4,,149.5,,,,48.405,5.8448
2459132,2020/10/9,Fri,0.94355,4.7698,2319.8,,149.63,,,,48.33,5.8407
